,subject,predicate,object,from,until
219758,Mae Busch,spouse,Francis McDonald,1915,1922
258060,Brandenburg-Prussia,followed by,Kingdom of Prussia,1701,1701
328105,Agnes Mazerath,significant person,Jan Bronski,1915,1939
257526,Minister for Youth,nominated by,Premier of South Australia,1985,2018
260641,Fernando Lázaro Carreter,director,Real Academia Española,1992,1998
258560,2001 Tour de France,destination point,Paris,2001,2001
328511,DRG Class 44,manufacturer,Schichau-Werke,1938,1943
328529,Stephan Cohn-Vossen,place of birth,Wrocław,1902,1902
258570,Russky Invalid,place of publication,Paris,1924,1940
260524,Ub Iwerks,professional or sports partner,Walt Disney,1920,1930
260032,Nikolai Morozov,country for sport,Russia,1994,1996
260788,Kauko Juhantalo,convicted of,bribery,1993,1993
257606,William Jones,practiced by,Benjamin Franklin,1774,1774
260920,Order of the White Lion,conferred by,President of Czechoslovakia,1922,1992
260575,Genrikh Kasparyan,title of chess player,Merited Master of Sports of the USSR,1956,1956
246247,Nazario Martín,honorific suffix,doctor honoris causa,2016,2016
328417,Fußball-Regionalliga Nordost,league level above,2. Bundesliga,1994,2000
163884,Nicholas Winton,military branch,Royal Air Force,1940,1954
328595,Argentine Army,item operated,M4 Sherman,1979,1979
187575,German submarine U-753,significant event,order,1939,1939
164996,Lights,nominated for,Juno Award for Breakthrough Artist of the Year,2009,2009
328403,Cypriot Super Cup,participating team,EPA Larnaca FC,1953,1953
258791,Apple,chief executive officer,Steve Jobs,1997,2011
328521,Mother Truczinski,hair color,grey hair,1938,1938
219629,Vichy,capital of,France,1940,1944
260632,Marvel Cinematic Universe Phase One: Avengers Assembled,distributor,Paramount Pictures,2008,2011
328575,Google,stock exchange,NASDAQ,2004,2015
245437,Unbelievable Adventures of Italians in Russia,filming location,Saint Petersburg,1974,1974
258442,"Game of Thrones, season 6",original network,HBO,2016,2016
259725,German submarine U-159,home port,Lorient,1942,1943
260023,Soviet Union,office held by head of state,General Secretary of the Communist Party of the Soviet Union,1922,1991
245469,Sven Wollter,partner,Viveka Seldahl,1971,2001
260027,French presidential election 2017,candidate,Nicolas Sarkozy,2016,2016
219295,FIFA 13,narrative location,France,2013,2013
257448,M,performer,Judi Dench,1995,2012
259690,PayPal,parent organization,eBay,2002,2015
217633,CMR Convention,signatory,France,1956,1956
257371,Herbert Werner,military casualty classification,prisoner of war,1945,1945
208084,Paul Ricœur,member of,Modern Language Association,1984,1984
258198,German submarine U-763,commanded by,Ernst Cordes,1943,1944
261098,Ali Al-Habsi,member of sports team,Brighton & Hove Albion F.C.,2014,2014
328594,Korean Empire,time period,modern history,1897,1906
328633,Marcella Di Folco,sex or gender,male,1943,1987
258183,Australia,currency,pound sterling,1901,1910
217888,Tomás Ibáñez Gracia,residence,France,1947,1973
328606,Carlos Cruz-Díez,catalog,Colección Patricia Phelps de Cisneros,2017,2017
328473,Philadelphia Flyers,general manager,Bobby Clarke,1984,1990
258551,Georg Wissowa,contributed to creative work,Paulys Realenzyklopädie der klassischen Altertumswissenschaft,1891,1909
259687,The Hall of Presidents,narrator,Morgan Freeman,2009,2017
328597,Cypriot First Division,qualifies for event,Super League Greece,1967,1974
328138,Stams abbey,religious order,Cistercians,1273,1807
259827,D.C. United,home venue,Robert F. Kennedy Memorial Stadium,1996,2017
328514,Stanisława Walasiewicz,manner of death,robbery,1980,1980
328609,Christer Fuglesang,astronaut mission,STS-116,2006,2006
0,Richard Richards,position held,Member of the 15th Parliament of the United Kingdom,1847,1852
212733,Karl von Fischer,work location,France,1806,1809
328632,Stoyan Mitov,archives at,Central State Archives of Bulgaria,1908,1971
328551,Nico Rosberg,sport,Formula One,2006,2016
257672,"A Mineiro, or Native of Mine District in Brazil",collection,Pinacoteca of the State of São Paulo collection,2007,2007
259834,D.C. United,sponsor,Volkswagen,2008,2013
203063,Kransberg Castle,occupant,Nazi Germany,1939,1945
258571,Institut national agronomique,location of formation,Paris,1876,1876
255904,Germany,head of state,Gustav Heinemann,1969,1974
328634,Spanish transition to democracy,has effect,1977 Spanish general election,1977,1977
256706,Germany,replaces,West Germany,1990,1990
255859,Astronomer Royal,subclass of,director,1675,1972
328628,"Good Night, Little Ones!",composer,Arkady Ostrovsky,1965,1965
257663,CISAC,board member,Jia Zhangke,2016,2019
203722,Karl Dönitz,commander of,Kriegsmarine,1943,1945
328277,Simone Lange,candidacy in election,chairman of the Social Democratic Party,2018,2018
260647,2013 Skate America - men's singles,participant,Evan Lysacek,2013,2013
328278,Who Framed Roger Rabbit,BBFC rating,PG certificate,2013,2013
227502,Milan,twinned administrative body,Saint Petersburg,1967,2012
328394,Michael Jordan,position played on team / speciality,small forward,2001,2003
225792,Leonhard Euler,doctoral student,Johann Friedrich Hennert,1765,1765
328332,Ich bin ein Star – Holt mich hier raus!,presenter,Dirk Bach,2004,2012
211064,Gary Peters,occupation,vice president,1980,1989
257607,Klaus Fuchs,student of,Rudolf Peierls,1941,1943
328619,Atari 8-bit family,developer,Atari,1979,1979
328304,British Hong Kong,office held by head of government,Governor of Hong Kong,1843,1997
328365,Ellen DeGeneres,notable work,Finding Nemo,2003,2003
259841,Karl-Heinz Priese,academic major,egyptology,1954,1958
258187,English,influenced by,French,1066,1485
204263,Paul Ricœur,academic degree,doctorate,1950,1950
328539,Jainism,located on terrain feature,Gujarat,1991,1991
260927,Investigation Held by ZnaToKi,production company,USSR Gosteleradio Central Television,1971,1971
256633,Gerhard Steffen,place of detention,Soviet Union,1945,1948
78380,Tatyana Lioznova,award received,"Order ""For Merit to the Fatherland"" III class",1999,1999
