,subject,predicate,object,from,until,object_has_years,subject_has_years
74,Rudolf Kompfner,was born in,Vienna,1909-05-16,1909-05-16,False,False
75,Felix Frankfurter,was born in,Vienna,1882-11-15,1882-11-15,False,False
76,Max Perutz,was born in,Vienna,1914-05-19,1914-05-19,False,False
77,Elfriede Geiringer,was born in,Vienna,1905-02-13,1905-02-13,False,False
78,Edward Bernays,was born in,Vienna,1891-11-22,1891-11-22,False,False
79,Susan Douglas Rubes,was born in,Vienna,1925-03-13,1925-03-13,False,False
80,Friedrich Katz,was born in,Vienna,1927-06-13,1927-06-13,False,False
81,Maria Rohm,was born in,Vienna,1945-08-13,1945-08-13,False,False
82,Lise Meitner,was born in,Vienna,1878-11-07,1878-11-07,False,False
83,Eduard von Borsody,was born in,Vienna,1898-06-13,1898-06-13,False,False
84,Walter Kohn,was born in,Vienna,1923-03-09,1923-03-09,False,False
85,Josef von Halban,was born in,Vienna,1870-10-10,1870-10-10,False,False
86,Maximilian Schell,was born in,Vienna,1930-12-08,1930-12-08,False,False
87,Boris Kodjoe,was born in,Vienna,1973-03-08,1973-03-08,False,False
88,Fritz Kortner,was born in,Vienna,1892-05-12,1892-05-12,False,False
89,Helene Thimig,was born in,Vienna,1889-06-05,1889-06-05,False,False
90,Nadja Tiller,was born in,Vienna,1929-03-16,1929-03-16,False,False
91,Turgay Bahadır,was born in,Vienna,1984-01-15,1984-01-15,False,False
92,Richard Kuhn,was born in,Vienna,1900-12-03,1900-12-03,False,False
93,Walter Munk,was born in,Vienna,1917-10-19,1917-10-19,False,False
94,Eric Kandel,was born in,Vienna,1929-11-07,1929-11-07,False,False
95,Berthold Viertel,was born in,Vienna,1885-06-28,1885-06-28,False,False
96,Dési von Halban,was born in,Vienna,1912-04-10,1912-04-10,False,False
97,Konrad Lorenz,was born in,Vienna,1903-11-07,1903-11-07,False,False
98,Martin Karplus,was born in,Vienna,1930-03-15,1930-03-15,False,False
99,Elisabeth Neumann-Viertel,was born in,Vienna,1900-04-05,1900-04-05,False,False
100,Jocelyn Lane,was born in,Vienna,1937-05-16,1937-05-16,False,False
101,Torrance Coombs,was born in,Vancouver,1983-06-14,1983-06-14,False,False
102,David Suzuki,was born in,Vancouver,1936-03-24,1936-03-24,False,False
103,James Beveridge,was born in,Vancouver,1917-08-12,1917-08-12,False,False
104,Terry Dunfield,was born in,Vancouver,1982-02-20,1982-02-20,False,False
105,Lisa Vultaggio,was born in,Vancouver,1973-01-20,1973-01-20,False,False
106,Cobie Smulders,was born in,Vancouver,1982-04-03,1982-04-03,False,False
107,Dorothy Stratten,was born in,Vancouver,1960-02-28,1960-02-28,False,False
108,David Margolese,was born in,Vancouver,1957-10-24,1957-10-24,False,False
109,Michael Shanks,was born in,Vancouver,1970-12-15,1970-12-15,False,False
110,Paul Snider,was born in,Vancouver,1951-04-15,1951-04-15,False,False
111,Seth Rogen,was born in,Vancouver,1982-04-15,1982-04-15,False,False
112,June Havoc,was born in,Vancouver,1912-11-08,1912-11-08,False,False
113,Deborah Grey,was born in,Vancouver,1952-07-01,1952-07-01,False,False
114,João Paiva,was born in,Lisbon,1983-02-08,1983-02-08,False,False
115,José Gonçalves (footballer),was born in,Lisbon,1985-09-17,1985-09-17,False,False
116,Pedro Valido,was born in,Lisbon,1970-03-13,1970-03-13,False,False
117,Yago Fernández,was born in,Lisbon,1988-01-05,1988-01-05,False,False
118,Miguel Lopes,was born in,Lisbon,1986-12-19,1986-12-19,False,False
119,"Beto (footballer, born 1982)",was born in,Lisbon,1982-05-01,1982-05-01,False,True
120,Diogo Tavares,was born in,Lisbon,1987-07-27,1987-07-27,False,False
121,Luís Andrade,was born in,Lisbon,1973-09-30,1973-09-30,False,False
122,Fernando Pessoa,was born in,Lisbon,1888-06-13,1888-06-13,False,False
123,Miguel Ângelo (footballer),was born in,Lisbon,1984-10-10,1984-10-10,False,False
124,Carlos Marques,was born in,Lisbon,1983-02-06,1983-02-06,False,False
125,Paulo Sérgio Moreira Gonçalves,was born in,Lisbon,1984-01-24,1984-01-24,False,False
126,Carlos Saleiro,was born in,Lisbon,1986-02-25,1986-02-25,False,False
127,Vincent Wong (Hong Kong actor),was born in,Hong Kong,1983-07-07,1983-07-07,False,False
128,Emme Wong,was born in,Hong Kong,1981-01-03,1981-01-03,False,False
129,Maria Tam,was born in,Hong Kong,1945-11-02,1945-11-02,False,False
130,Anita Yuen,was born in,Hong Kong,1971-09-04,1971-09-04,False,False
131,Moses Chan,was born in,Hong Kong,1971-04-16,1971-04-16,False,False
132,Kay Tse,was born in,Hong Kong,1977-03-13,1977-03-13,False,False
133,Richard Tsoi,was born in,Hong Kong,1967-09-11,1967-09-11,False,False
134,Kenix Kwok,was born in,Hong Kong,1970-11-27,1970-11-27,False,False
135,Jan Lamb,was born in,Hong Kong,1967-01-28,1967-01-28,False,False
136,Yoyo Chen,was born in,Hong Kong,1981-08-27,1981-08-27,False,False
137,Zachary Wong,was born in,Hong Kong,1957-12-22,1957-12-22,False,False
138,Fung Chi-wood,was born in,Hong Kong,1956-08-23,1956-08-23,False,False
139,Cass Phang,was born in,Hong Kong,1969-02-02,1969-02-02,False,False
140,Choy Kan-pui,was born in,Hong Kong,1929-08-05,1929-08-05,False,False
141,Chung Pui-lam,was born in,Hong Kong,1940-10-11,1940-10-11,False,False
142,Julian Cheung,was born in,Hong Kong,1971-08-27,1971-08-27,False,False
143,Michael Cheng Tak-kin,was born in,Hong Kong,1938-##-##,1938-##-##,False,False
144,Frankie Lam,was born in,Hong Kong,1967-12-19,1967-12-19,False,False
145,Louis Cheung,was born in,Hong Kong,1980-01-11,1980-01-11,False,False
146,Kam-Biu Luk,was born in,Hong Kong,1953-##-##,1953-##-##,False,False
147,Danny Chan Kwok-kwan,was born in,Hong Kong,1975-08-01,1975-08-01,False,False
148,Michael Ho (politician),was born in,Hong Kong,1955-11-06,1955-11-06,False,False
149,Ada Choi,was born in,Hong Kong,1973-09-17,1973-09-17,False,False
150,Neelam Kothari,was born in,Hong Kong,1968-03-03,1968-03-03,False,False
151,Wong Sing-chi,was born in,Hong Kong,1957-10-11,1957-10-11,False,False
152,Julie Bishop (actress),was born in,Denver,1914-08-30,1914-08-30,False,False
153,Ruth Handler,was born in,Denver,1916-11-04,1916-11-04,False,False
154,Mike Price,was born in,Denver,1946-04-06,1946-04-06,False,False
155,Barbara Rush,was born in,Denver,1927-01-04,1927-01-04,False,False
156,John Fante,was born in,Denver,1909-04-08,1909-04-08,False,False
157,Ann Fienup-Riordan,was born in,Denver,1948-10-13,1948-10-13,False,False
158,Matthew Meselson,was born in,Denver,1930-05-24,1930-05-24,False,False
159,Gerald P. Carr,was born in,Denver,1932-08-22,1932-08-22,False,False
160,James Smith McDonnell,was born in,Denver,1899-04-09,1899-04-09,False,False
161,Bradley Cooper,was born in,Philadelphia,1975-01-05,1975-01-05,False,False
162,Val Avery,was born in,Philadelphia,1924-07-14,1924-07-14,False,False
163,Bebe Moore Campbell,was born in,Philadelphia,1950-02-18,1950-02-18,False,False
164,John Rogers (baseball),was born in,Philadelphia,1844-05-27,1844-05-27,False,False
165,Vincent Hughes,was born in,Philadelphia,1956-10-26,1956-10-26,False,False
166,Carolyn Goodman (politician),was born in,Philadelphia,1939-03-25,1939-03-25,False,False
167,A. W. Tillinghast,was born in,Philadelphia,1876-05-07,1876-05-07,False,False
168,Robert Merrihew Adams,was born in,Philadelphia,1937-09-08,1937-09-08,False,False
169,Gail Zappa,was born in,Philadelphia,1945-01-01,1945-01-01,False,False
170,Craig Shoemaker,was born in,Philadelphia,1958-11-15,1958-11-15,False,False
171,Kim Delaney,was born in,Philadelphia,1961-11-29,1961-11-29,False,False
172,F. Albert Cotton,was born in,Philadelphia,1930-04-09,1930-04-09,False,False
173,Nancy Meyers,was born in,Philadelphia,1949-12-08,1949-12-08,False,False
174,Merrill Cook,was born in,Philadelphia,1946-05-06,1946-05-06,False,False
175,Ginger Gilmour,was born in,Philadelphia,1949-01-19,1949-01-19,False,False
176,Martin Sherman,was born in,Philadelphia,1938-12-22,1938-12-22,False,False
177,Mildred Davis,was born in,Philadelphia,1901-02-22,1901-02-22,False,False
178,Bill Cosby,was born in,Philadelphia,1937-07-12,1937-07-12,False,False
179,Jason Richwine,was born in,Philadelphia,1982-04-21,1982-04-21,False,False
180,Victory Bateman,was born in,Philadelphia,1865-04-06,1865-04-06,False,False
181,John M. Read,was born in,Philadelphia,1797-07-21,1797-07-21,False,False
182,Lee Guber,was born in,Philadelphia,1920-11-20,1920-11-20,False,False
183,Chris Matthews,was born in,Philadelphia,1945-12-17,1945-12-17,False,False
184,Gary Dourdan,was born in,Philadelphia,1966-12-11,1966-12-11,False,False
185,Paul R. Ehrlich,was born in,Philadelphia,1932-##-##,1932-##-##,False,False
186,Kevin Bacon,was born in,Philadelphia,1958-07-08,1958-07-08,False,False
187,William Keighley,was born in,Philadelphia,1889-08-04,1889-08-04,False,False
188,Amos E. Joel Jr.,was born in,Philadelphia,1918-03-12,1918-03-12,False,False
189,James Otto Lewis,was born in,Philadelphia,1799-02-03,1799-02-03,False,False
190,Peter Nowell,was born in,Philadelphia,1928-02-08,1928-02-08,False,False
191,"William Christian Bullitt, Jr.",was born in,Philadelphia,1891-01-25,1891-01-25,False,False
192,Caleb Deschanel,was born in,Philadelphia,1944-09-21,1944-09-21,False,False
193,Oscar Goodman,was born in,Philadelphia,1939-07-26,1939-07-26,False,False
194,Edward Norris,was born in,Philadelphia,1911-03-10,1911-03-10,False,False
195,Daniel Spielman,was born in,Philadelphia,1970-03-##,1970-03-##,False,False
196,Parker Stevenson,was born in,Philadelphia,1952-06-04,1952-06-04,False,False
197,Howard Martin Temin,was born in,Philadelphia,1934-12-10,1934-12-10,False,False
198,Marc Mezvinsky,was born in,Philadelphia,1977-12-15,1977-12-15,False,False
199,Florence Reed,was born in,Philadelphia,1883-01-10,1883-01-10,False,False
200,Jeanette MacDonald,was born in,Philadelphia,1903-06-18,1903-06-18,False,False
201,Edward King (jurist),was born in,Philadelphia,1794-01-31,1794-01-31,False,False
202,Robert G. Gallager,was born in,Philadelphia,1931-05-29,1931-05-29,False,False
203,Richard Neustadt,was born in,Philadelphia,1919-06-26,1919-06-26,False,False
204,Patrick Cronin (actor),was born in,Philadelphia,1941-##-##,1941-##-##,False,False
205,Richard Brooks,was born in,Philadelphia,1912-05-18,1912-05-18,False,False
206,Josh Singer,was born in,Philadelphia,1972-##-##,1972-##-##,False,False
207,Hugh Marlowe,was born in,Philadelphia,1911-01-30,1911-01-30,False,False
208,Clifford Odets,was born in,Philadelphia,1906-07-18,1906-07-18,False,False
209,John A. Lawless,was born in,Philadelphia,1957-11-30,1957-11-30,False,False
210,Will Smith,was born in,Philadelphia,1968-09-15,1968-09-15,False,False
211,Ethelind Terry,was born in,Philadelphia,1899-08-14,1899-08-14,False,False
212,Paul Douglas (actor),was born in,Philadelphia,1907-04-11,1907-04-11,False,False
213,Harry Weese,was born in,"Evanston, Illinois",1915-06-30,1915-06-30,False,False
214,Justin Whitlock Dart,was born in,"Evanston, Illinois",1907-08-17,1907-08-17,False,False
215,Stuart Lancaster (actor),was born in,"Evanston, Illinois",1920-11-30,1920-11-30,False,False
216,Elizabeth McGovern,was born in,"Evanston, Illinois",1961-07-18,1961-07-18,False,False
217,Colleen Bell,was born in,"Evanston, Illinois",1967-01-30,1967-01-30,False,False
218,Roger MacBride,was born in,"New Rochelle, New York",1929-08-06,1929-08-06,False,False
219,Elizabeth Berridge (actress),was born in,"New Rochelle, New York",1962-05-02,1962-05-02,False,False
220,Jay Leno,was born in,"New Rochelle, New York",1950-04-28,1950-04-28,False,False
221,Robert E. Sherwood,was born in,"New Rochelle, New York",1896-04-04,1896-04-04,False,False
222,James Neill,was born in,"Savannah, Georgia",1860-09-29,1860-09-29,False,False
223,W. Jason Morgan,was born in,"Savannah, Georgia",1935-10-10,1935-10-10,False,False
224,George Cobb (golf),was born in,"Savannah, Georgia",1914-07-02,1914-07-02,False,False
225,Bill Woodson,was born in,"Glendale, California",1917-07-16,1917-07-16,False,False
226,Frank Marshall (producer),was born in,"Glendale, California",1946-09-13,1946-09-13,False,False
227,A Martinez,was born in,"Glendale, California",1948-09-27,1948-09-27,False,False
228,Wendy Moniz,was born in,"Kansas City, Missouri",1969-01-19,1969-01-19,False,False
229,Elaine Joyce,was born in,"Kansas City, Missouri",1945-12-19,1945-12-19,False,False
230,Alice Joyce,was born in,"Kansas City, Missouri",1890-10-01,1890-10-01,False,False
231,Mireille Enos,was born in,"Kansas City, Missouri",1975-09-22,1975-09-22,False,False
232,Marguerite Churchill,was born in,"Kansas City, Missouri",1910-12-26,1910-12-26,False,False
233,Robert Lowery (actor),was born in,"Kansas City, Missouri",1913-10-17,1913-10-17,False,False
234,Grace La Rue,was born in,"Kansas City, Missouri",1882-04-23,1882-04-23,False,False
235,John Ashley (actor),was born in,"Kansas City, Missouri",1934-12-25,1934-12-25,False,False
236,Hall Bartlett,was born in,"Kansas City, Missouri",1922-11-27,1922-11-27,False,False
237,Rob Wagner,was born in,Detroit,1872-08-02,1872-08-02,False,False
238,Courtney B. Vance,was born in,Detroit,1960-03-12,1960-03-12,False,False
239,Pam Dawber,was born in,Detroit,1951-10-18,1951-10-18,False,False
240,Robert J. Shiller,was born in,Detroit,1946-03-29,1946-03-29,False,False
241,Warren S. Warren,was born in,Detroit,1955-08-16,1955-08-16,False,False
242,Debbie Dingell,was born in,Detroit,1953-11-23,1953-11-23,False,False
243,John DeLorean,was born in,Detroit,1925-01-06,1925-01-06,False,False
244,Earl Babbie,was born in,Detroit,1938-01-08,1938-01-08,False,False
245,Richard Quine,was born in,Detroit,1920-11-12,1920-11-12,False,False
246,Nancy Garlock Edmunds,was born in,Detroit,1947-##-##,1947-##-##,False,False
247,Bob Murawski,was born in,Detroit,1964-06-14,1964-06-14,False,False
248,Sonny Bono,was born in,Detroit,1935-02-16,1935-02-16,False,False
249,Tom Hulce,was born in,Detroit,1953-12-06,1953-12-06,False,False
250,Jeffrey Stone,was born in,Detroit,1926-12-16,1926-12-16,False,False
251,James Lipton,was born in,Detroit,1926-09-19,1926-09-19,False,False
252,Gail O'Grady,was born in,Detroit,1963-01-23,1963-01-23,False,False
253,Isadore Singer,was born in,Detroit,1924-05-03,1924-05-03,False,False
254,Matthew Dowd,was born in,Detroit,1961-05-29,1961-05-29,False,False
255,Grant Show,was born in,Detroit,1962-02-27,1962-02-27,False,False
256,Tommy Flanagan,was born in,Detroit,1930-03-16,1930-03-16,False,False
257,Ben Carson,was born in,Detroit,1951-09-18,1951-09-18,False,False
258,Michael Tylo,was born in,Detroit,1948-10-16,1948-10-16,False,False
259,Deb Lacusta,was born in,Detroit,1958-03-15,1958-03-15,False,False
260,Robert Hayden,was born in,Detroit,1913-08-04,1913-08-04,False,False
261,Kerry Bentivolio,was born in,Detroit,1951-10-06,1951-10-06,False,False
262,Candy Carson,was born in,Detroit,1953-08-19,1953-08-19,False,False
263,Carol Christensen,was born in,Detroit,1937-09-14,1937-09-14,False,False
264,Brad Hall,was born in,"Santa Barbara, California",1958-03-21,1958-03-21,False,False
265,Caroline D. Krass,was born in,"Santa Barbara, California",1968-05-01,1968-05-01,False,False
266,Romualdo Pacheco,was born in,"Santa Barbara, California",1831-10-31,1831-10-31,False,False
267,Norris Bradbury,was born in,"Santa Barbara, California",1909-05-30,1909-05-30,False,False
268,Li Yapeng,was born in,China,1971-09-27,1971-09-27,False,False
269,Chen Hong (actress),was born in,China,1968-12-13,1968-12-13,False,False
270,Chen Zihan,was born in,China,1978-04-02,1978-04-02,False,False
271,"Tao Hong (actress, born 1972)",was born in,China,1972-01-15,1972-01-15,False,True
272,Sun Yi (actress),was born in,China,1993-06-04,1993-06-04,False,False
273,Reg Turnbull,was born in,China,1908-02-21,1908-02-21,False,False
274,Peter Koo,was born in,China,1952-01-12,1952-01-12,False,False
275,Robert Tienwen Chien,was born in,China,1931-11-20,1931-11-20,False,False
276,Dong Zijian,was born in,China,1993-12-19,1993-12-19,False,False
277,Xu Zheng (actor),was born in,China,1972-04-18,1972-04-18,False,False
278,Yitang Zhang,was born in,China,1955-##-##,1955-##-##,False,False
279,Yang Zishan,was born in,China,1986-11-06,1986-11-06,False,False
280,Alfred Y. Cho,was born in,China,1937-07-10,1937-07-10,False,False
281,Irene Tsu,was born in,China,1944-11-04,1944-11-04,False,False
282,Peter H. Raven,was born in,China,1936-06-13,1936-06-13,False,False
283,Jiang Qinqin,was born in,China,1975-09-03,1975-09-03,False,False
284,Nina Wang,was born in,China,1937-09-29,1937-09-29,False,False
285,Jane Engelhard,was born in,China,1917-08-12,1917-08-12,False,False
286,Zhang Jin,was born in,China,1974-05-19,1974-05-19,False,False
287,Yue Fei,was born in,China,1142-01-27,1142-01-27,False,False
288,Ye Qianyu,was born in,China,1907-03-31,1907-03-31,False,False
289,Te-Pei Feng,was born in,China,1907-02-20,1907-02-20,False,False
290,Alice S. Huang,was born in,China,1939-03-22,1939-03-22,False,False
291,Dou Wei,was born in,China,1969-10-14,1969-10-14,False,False
292,Teh Cheang Wan,was born in,China,1928-03-03,1928-03-03,False,False
293,Chien-Shiung Wu,was born in,China,1912-05-31,1912-05-31,False,False
294,Gregory Chow,was born in,China,1930-12-25,1930-12-25,False,False
295,Wang Feng (singer),was born in,China,1971-06-29,1971-06-29,False,False
296,Gao Yuanyuan,was born in,China,1979-10-05,1979-10-05,False,False
297,Fei-Fei Li,was born in,China,1976-##-##,1976-##-##,False,False
298,Zhang Ziyi,was born in,China,1979-02-09,1979-02-09,False,False
299,Huang Chen-ya,was born in,China,1939-11-04,1939-11-04,False,False
300,Dai Xiangyu,was born in,China,1984-12-27,1984-12-27,False,False
301,Faye Wong,was born in,China,1969-08-08,1969-08-08,False,False
302,Jiang Ying (musician),was born in,China,1919-08-11,1919-08-11,False,False
303,Chen Jianbin,was born in,China,1970-06-27,1970-06-27,False,False
304,T. T. Chang,was born in,China,1927-04-03,1927-04-03,False,False
305,Yuan-Cheng Fung,was born in,China,1919-09-15,1919-09-15,False,False
306,Jayne Meadows,was born in,China,1919-09-27,1919-09-27,False,False
307,Chia-Chiao Lin,was born in,China,1916-07-07,1916-07-07,False,False
308,Sho-Chieh Tsiang,was born in,China,1918-08-25,1918-08-25,False,False
309,Wang Renmei,was born in,China,1914-12-##,1914-12-##,False,False
310,Pétala Monteiro,was born in,"São Luís, Maranhão",1987-09-27,1987-09-27,False,False
311,Sarney Filho,was born in,"São Luís, Maranhão",1957-06-14,1957-06-14,False,False
312,Flávio Dino,was born in,"São Luís, Maranhão",1968-04-30,1968-04-30,False,False
313,Astro de Ogum,was born in,"São Luís, Maranhão",1957-10-16,1957-10-16,False,False
314,José Reinaldo Tavares,was born in,"São Luís, Maranhão",1939-03-19,1939-03-19,False,False
315,Maryam Mirzakhani,was born in,Tehran,1977-05-03,1977-05-03,False,False
316,Shahnaz Pahlavi,was born in,Tehran,1940-10-27,1940-10-27,False,False
317,Ardeshir Zahedi,was born in,Tehran,1928-10-16,1928-10-16,False,False
318,Sahar Dolatshahi,was born in,Tehran,1979-10-08,1979-10-08,False,False
319,Homa Rousta,was born in,Tehran,1946-09-26,1946-09-26,False,False
320,Fariborz Arabnia,was born in,Tehran,1964-04-28,1964-04-28,False,False
321,Ateneh Faghih Nasiri,was born in,Tehran,1968-11-14,1968-11-14,False,False
322,Negar Javaherian,was born in,Tehran,1983-01-12,1983-01-12,False,False
323,Rambod Javan,was born in,Tehran,1971-12-22,1971-12-22,False,False
324,Hamid Samandarian,was born in,Tehran,1931-05-06,1931-05-06,False,False
325,Antoine de Saint-Exupéry,was born in,Lyon,1900-06-29,1900-06-29,False,False
326,Carl Medjani,was born in,Lyon,1985-05-15,1985-05-15,False,False
327,David Charvet,was born in,Lyon,1972-05-15,1972-05-15,False,False
328,Raymond Domenech,was born in,Lyon,1952-01-24,1952-01-24,False,False
329,Laurent Wauquiez,was born in,Lyon,1975-04-12,1975-04-12,False,False
330,Eric Cantona,was born in,Marseille,1966-05-24,1966-05-24,False,False
331,Ariane Ascaride,was born in,Marseille,1954-10-10,1954-10-10,False,False
332,France Nuyen,was born in,Marseille,1939-07-31,1939-07-31,False,False
333,Robert Guédiguian,was born in,Marseille,1953-12-03,1953-12-03,False,False
334,Alberto Moravia,was born in,Rome,1907-11-28,1907-11-28,False,False
335,Ira von Fürstenberg,was born in,Rome,1940-04-18,1940-04-18,False,False
336,Roberto Giachetti,was born in,Rome,1961-04-24,1961-04-24,False,False
337,Elena Varzi,was born in,Rome,1926-12-21,1926-12-21,False,False
338,Ivano Trotta,was born in,Rome,1977-12-12,1977-12-12,False,False
339,Alberto Aquilani,was born in,Rome,1984-07-07,1984-07-07,False,False
340,Sergio Castellitto,was born in,Rome,1953-08-18,1953-08-18,False,False
341,Nicola Cabibbo,was born in,Rome,1935-04-10,1935-04-10,False,False
342,Luciana Paluzzi,was born in,Rome,1937-06-10,1937-06-10,False,False
343,Francesco Totti,was born in,Rome,1976-09-27,1976-09-27,False,False
344,Julius Evola,was born in,Rome,1898-05-19,1898-05-19,False,False
345,Walter Veltroni,was born in,Rome,1955-07-03,1955-07-03,False,False
346,Enrico Fermi,was born in,Rome,1901-09-29,1901-09-29,False,False
347,Franco Frattini,was born in,Rome,1957-03-14,1957-03-14,False,False
348,Lola Albright,was born in,"Akron, Ohio",1924-07-20,1924-07-20,False,False
349,Richard Smalley,was born in,"Akron, Ohio",1943-06-06,1943-06-06,False,False
350,Choi Won-young,was born in,South Korea,1976-01-10,1976-01-10,False,False
